protocol,second,count
TLSv1.3,364,4
TCP,364,5
UDP,364,2
TLSv1.3,365,3
TCP,365,4
TLSv1.3,366,4
TCP,366,8
ICMPv6,366,2
TLSv1.2,366,2
TLSv1.3,367,5
TCP,367,6
TLSv1.3,368,4
TCP,368,5
IGMPv2,368,1
MDNS,368,1
TLSv1.3,369,10
TCP,369,16
MDNS,369,1
TCP,371,1
MDNS,372,2
ICMPv6,374,2
ARP,374,1
ICMPv6,375,2
TLSv1.2,376,2
TCP,376,7
TCP,379,2
QUIC,379,19
UDP,380,24
QUIC,380,10
UDP,381,11
MDNS,381,1
ICMPv6,385,2
ICMPv6,389,2
TCP,391,4
TLSv1.3,391,3
ICMPv6,396,1
ARP,397,2
DNS,399,4
TCP,399,9
ICMPv6,399,2
TLSv1.3,399,7
UDP,401,4
ARP,403,1
ARP,404,1
MDNS,406,2
ICMPv6,406,2
MDNS,407,2
TCP,420,10
TLSv1.3,420,3
IGMPv2,420,1
MDNS,420,1
UDP,421,4
MDNS,421,2
ICMPv6,425,2
ICMPv6,427,2
ARP,431,1
IGMPv2,433,1
MDNS,433,1
MDNS,434,2
QUIC,436,23
QUIC,437,10
UDP,437,20
ARP,437,2
UDP,438,10
UDP,441,2
ICMPv6,442,2
ARP,443,1
ICMPv6,445,2
MDNS,447,2
MDNS,448,2
MDNS,450,2
MDNS,454,2
ICMPv6,456,1
UDP,458,2
TLSv1.3,458,3
TCP,458,2
TCP,459,3
ARP,459,1
UDP,461,2
ICMPv6,466,2
ICMPv6,471,2
UDP,476,10
QUIC,477,31
ARP,477,2
UDP,477,27
UDP,478,14
TCP,479,4
TLSv1.3,479,2
ICMPv6,480,2
UDP,481,2
TCP,482,8
TLSv1.3,482,2
TLSv1.3,483,6
TCP,483,6
TLSv1.3,484,4
TCP,484,4
TLSv1.3,485,3
TCP,485,2
TLSv1.3,486,3
TCP,486,6
TLSv1.2,486,3
TLSv1.3,487,6
TCP,487,9
ARP,487,1
ICMPv6,487,2
TCP,488,4
TLSv1.3,488,2
TCP,492,1
TCP,493,1
TCP,494,1
UDP,494,1
TCP,495,1
TCP,496,6
TLSv1.2,496,2
TCP,497,1
DNS,497,7
QUIC,497,22
UDP,498,2
TCP,499,1
ICMPv6,500,2
UDP,501,2
ICMPv6,509,2
TCP,509,7
TLSv1.3,509,3
ICMPv6,514,2
ARP,516,3
ICMPv6,516,1
DNS,517,3
TCP,517,9
TLSv1.3,517,6
ICMPv6,518,2
UDP,518,2
UDP,521,2
TCP,534,1
TCP,535,2
TCP,536,2
TCP,537,2
TCP,538,2
UDP,538,2
TCP,539,2
TCP,540,1
TCP,541,1
UDP,541,2
TCP,542,1
ICMPv6,543,2
ARP,544,1
ICMPv6,546,2
ICMPv6,555,2
UDP,558,2
UDP,559,1
UDP,561,2
ICMPv6,564,2
ICMPv6,566,2
QUIC,570,36
ARP,572,1
ICMPv6,576,1
TCP,576,2
TLSv1.3,576,2
TCP,577,2
UDP,578,2
UDP,581,2
ICMPv6,584,2
ICMPv6,589,2
ICMPv6,593,2
TLSv1.2,596,2
TCP,596,4
UDP,598,2
QUIC,600,2
ICMPv6,600,4
ARP,600,1
QUIC,601,2
ICMPv6,601,4
UDP,601,2
QUIC,602,1
ICMPv6,602,2
QUIC,605,1
ICMPv6,605,2
TCP,608,2
TLSv1.3,608,1
TLSv1.3,610,2
TCP,610,5
QUIC,610,1
ICMPv6,610,4
TLSv1.3,611,1
TCP,611,1
UDP,618,2
QUIC,620,1
ICMPv6,620,2
UDP,621,3
ICMPv6,622,2
UDP,624,1
ARP,628,1
ICMPv6,629,2
ICMPv6,631,2
ICMPv6,636,2
ICMPv6,637,1
ICMPv6,638,2
UDP,638,1
UDP,639,2
TCP,640,4
TLSv1.3,640,3
UDP,641,2
TLSv1.2,646,3
TCP,646,13
ICMPv6,646,2
ICMPv6,653,2
ARP,657,1
ICMPv6,658,2
UDP,659,2
UDP,661,2
ICMPv6,662,2
QUIC,663,7
ICMPv6,669,2
ICMPv6,677,2
UDP,679,2
UDP,681,2
ICMPv6,682,2
ICMPv6,684,2
ARP,685,1
UDP,686,4
QUIC,686,1
UDP,689,1
ICMPv6,692,2
ICMPv6,694,1
ICMPv6,695,1
TLSv1.2,696,3
TCP,696,5
ICMPv6,697,1
ICMPv6,699,2
UDP,701,2
ICMPv6,704,2
MDNS,704,2
UDP,706,2
ICMPv6,708,2
ARP,713,1
ICMPv6,715,2
UDP,721,2
ICMPv6,723,2
UDP,726,2
ICMPv6,726,2
ICMPv6,730,2
ICMPv6,738,2
UDP,741,2
ARP,741,1
ICMPv6,745,2
UDP,746,2
ICMPv6,750,2
ICMPv6,754,2
UDP,754,1
ICMPv6,757,1
ICMPv6,760,2
UDP,761,3
UDP,766,2
ICMPv6,769,2
ARP,770,1
ICMPv6,771,2
ICMP,774,1
ICMPv6,776,2
UDP,781,1
UDP,782,1
ICMPv6,784,2
UDP,786,2
ICMPv6,791,4
ARP,798,1
ICMPv6,800,2
UDP,802,2
TCP,804,1
TCP,805,1
TCP,806,1
QUIC,806,1
UDP,806,2
TCP,807,1
ICMPv6,807,2
TCP,808,1
TCP,809,1
TCP,811,1
ICMPv6,812,2
ICMPv6,815,2
ICMPv6,817,1
UDP,819,1
UDP,822,2
ICMPv6,822,2
ICMPv6,824,2
UDP,826,2
ARP,826,1
ICMPv6,831,2
ICMPv6,835,2
ICMPv6,838,2
UDP,842,2
ICMPv6,846,2
UDP,846,2
ARP,854,1
TCP,855,1
TCP,856,1
TCP,857,1
TCP,858,1
DNS,859,11
TCP,859,4
TCP,860,39
TLSv1.2,860,4
TCP,861,20
TLSv1.2,861,8
ICMPv6,861,2
TCP,862,19
UDP,862,2
DNS,862,7
TLSv1.3,862,3
TCP,863,24
TLSv1.2,863,5
ICMPv6,864,4
ARP,864,2
UDP,866,2
TCP,872,26
TLSv1.2,872,8
TLSv1.2,873,5
TCP,873,10
TCP,874,17
TLSv1.3,874,2
TLSv1.2,874,6
TCP,875,11
TLSv1.2,875,6
TCP,876,19
TLSv1.2,876,4
TLSv1.2,877,1
TCP,877,1
ICMPv6,877,3
TCP,879,21
TLSv1.2,879,5
TCP,880,25
ICMPv6,880,2
TLSv1.3,880,4
TCP,881,3
TLSv1.3,881,1
UDP,882,2
ARP,882,1
UDP,884,1
TCP,884,6
